codec,type,preset,infile.size,outfile.filename,outfile.size,outfile.options,elapsed.encode.time,compratio_persent,comspeed,ssim,vmaf,vmafdiff,RANK.comps,RANK.speed,RANK.ssim,RANK.vmaf,Total.score,Total.RANK,note
hevc_nvenc,x265,15,220513271,/dist/x265_hevc_nvenc_15,83080793,"-tag:v,hvc1",00:00:36,0.6232390340,8.6084505482,0.998200,96.465293,0.078879,24,4,12,2,42,1,bast
hevc_nvenc,x265,12,220513271,/dist/x265_hevc_nvenc_12,79786553,"-tag:v,hvc1",00:00:16,0.6381779988,19.8201918658,0.997541,95.692323,0.851849,19,1,17,8,45,3,1st encode
h264_nvenc,x264,15,"220,513,271",/dist/x264_h264_nvenc_15,"80,694,166",,00:00:33,0.6340620878,9.4536912652,0.997734,95.720550,0.823622,20,3,15,7,45,3,
h264_vaapi,x264,none,"220,513,271",/dist/x264_h264_vaapi_none,"176,776,037",,00:00:48,0.1983428653,6.5731838498,0.999067,96.399207,0.144965,32,7,3,3,45,3,
hevc_nvenc,x265,18,220513271,/dist/x265_hevc_nvenc_18,83055476,"-tag:v,hvc1",00:01:38,0.6233538434,3.2153580776,0.998372,96.544172,0.000000,23,14,9,1,47,5,vamf bast
h264_nvenc,x264,18,"220,513,271",/dist/x264_h264_nvenc_18,"81,239,118",,00:01:02,0.6315907989,5.1105818289,0.998114,96.068076,0.476096,21,13,14,5,53,6.5,
libx264,x264_crf21,medium,"220,513,271",/dist/x264_crf21_libx264_medium,"133,999,342","-crf,21",00:02:20,0.3923298068,2.2594275113,0.999238,96.226912,0.317260,30,18,1,4,53,6.5,
libx264,x264_crf21,veryfast,220513271,/dist/x264_crf21_libx264_veryfast,115025749,"-crf,21",00:00:56,0.4783726690,5.6228439016,0.998701,95.299143,1.245029,29,10,6,10,55,8,
h264_nvenc,x264,12,"220,513,271",/dist/x264_h264_nvenc_12,"78,022,193",,00:00:16,0.6461791499,18.7624909102,0.996805,94.850785,1.693387,18,2,22,14,56,9,
libx264,x264_crf23,medium,"220,513,271",/dist/x264_crf23_libx264_medium,"104,979,676","-crf,23",00:02:10,0.5239303488,2.4399771253,0.998909,95.610642,0.933530,27,17,4,9,57,10,
libx264,x264_crf25,medium,"220,513,271",/dist/x264_crf25_libx264_medium,"82,888,897","-crf,25",00:02:00,0.6241092583,2.6303383063,0.998480,94.827362,1.716810,22,15,7,15,59,11,
libx264,x264_crf21,veryslow,"220,513,271",/dist/x264_crf21_libx264_veryslow,"113,779,703","-crf,21",00:11:22,0.4840233312,0.4658112767,0.999225,96.052818,0.491354,28,29,2,6,65,12,
libx264,x264_crf25,veryfast,"220,513,271",/dist/x264_crf25_libx264_veryfast,"70,336,319","-crf,25",00:00:55,0.6810336236,5.7517608058,0.997408,93.214939,3.329233,17,9,19,22,67,13.5,
libx264,x264_crf23,veryfast,"220,513,271",/dist/x264_crf23_libx264_veryfast,"88,720,288","-crf,23",00:00:56,0.5976646322,5.6170838589,0.998162,94.392257,2.151915,26,11,13,17,67,13.5,
libx265,x265_crf26,veryslow,220513271,/dist/x265_crf26_libx265_veryslow,51303398,"-crf,26,-tag:v,hvc1",01:17:03,0.7673455309,0.0687887902,0.998220,95.156461,1.387711,13,32,11,12,68,15,
libx264,x264_crf25,veryslow,"220,513,271",/dist/x264_crf25_libx264_veryslow,"69,511,062","-crf,25",00:09:50,0.6847760605,0.5389196091,0.998422,94.384265,2.159907,16,27,8,18,69,16.5,
libx264,x264_crf23,veryslow,"220,513,271",/dist/x264_crf23_libx264_veryslow,"88,051,511","-crf,23",00:10:31,0.6006974519,0.5034790667,0.998872,95.297981,1.246191,25,28,5,11,69,16.5,
hevc_vaapi,x265,none,220513271,/dist/x265_hevc_vaapi_none,134910732,"-tag:v,hvc1",00:02:02,0.3881967675,2.5931757333,0.998224,95.116298,1.427874,31,16,10,13,70,18,
hevc_qsv,x265,7,220513271,/dist/x265_hevc_qsv_7,35753592,"-tag:v,hvc1",00:00:51,0.8378619489,6.2042204146,0.973681,79.960522,16.583650,4,8,31,30,73,19.5,
libx265,x265_crf26,medium,220513271,/dist/x265_crf26_libx265_medium,52455915,"-crf,26,-tag:v,hvc1",00:04:23,0.7621190110,1.2054986711,0.997495,94.559398,1.984774,14,25,18,16,73,19.5,
libx265,x265_crf28,veryslow,220513271,/dist/x265_crf28_libx265_veryslow,40833772,"-crf,28,-tag:v,hvc1",01:12:21,0.8148239704,0.0732604581,0.997658,94.240036,2.304136,7,31,16,20,74,21,
h264_qsv,x264,4,"220,513,271",/dist/x264_h264_qsv_4,"43,291,418",,00:00:46,0.8036788543,6.8311408720,0.983124,78.870142,17.674030,10,6,28,31,75,22.5,
libx265,x265_crf30,veryslow,220513271,/dist/x265_crf30_libx265_veryslow,32967273,"-crf,30,-tag:v,hvc1",01:08:26,0.8504975558,0.0774484698,0.996899,93.015520,3.528652,1,30,21,23,75,22.5,1st compression
h264_qsv,x264,1,"220,513,271",/dist/x264_h264_qsv_1,"41,729,567",,00:00:59,0.8107616525,5.3265851315,0.984335,81.403975,15.140197,8,12,27,29,76,25,
libx265,x265_crf30,medium,220513271,/dist/x265_crf30_libx265_medium,34668374,"-crf,30,-tag:v,hvc1",00:04:08,0.8427832763,1.2809757288,0.995549,91.706268,4.837904,3,23,25,25,76,25,
libx265,x265_crf26,veryfast,"220,513,271",/dist/x265_crf26_libx265_veryfast,"61,611,591","-crf,26,-tag:v,hvc1",00:02:59,0.7205991697,1.7684475036,0.996948,94.289618,2.254554,15,22,20,19,76,25,
libx265,x265_crf28,medium,"220,513,271",/dist/x265_crf28_libx265_medium,"42,399,906","-crf,28,-tag:v,hvc1",00:04:15,0.8077217493,1.2437548442,0.996688,93.341924,3.202248,9,24,23,21,77,27,
libx265,x265_crf30,veryfast,"220,513,271",/dist/x265_crf30_libx265_veryfast,"39,752,840","-crf,30,-tag:v,hvc1",00:02:52,0.8197258613,1.8441736917,0.994547,91.133943,5.410229,6,20,26,26,78,28,
hevc_qsv,x265,4,220513271,/dist/x265_hevc_qsv_4,34389257,"-tag:v,hvc1",00:02:39,0.8440490368,1.9932898996,0.980298,83.062660,13.481512,2,19,30,28,79,29,
h264_qsv,x264,7,"220,513,271",/dist/x264_h264_qsv_7,"44,950,473",,00:00:43,0.7961552482,7.3459315397,0.970874,71.692081,24.852091,11,5,32,32,80,30,
libx265,x265_crf28,veryfast,220513271,/dist/x265_crf28_libx265_veryfast,49422522,"-crf,28,-tag:v,hvc1",00:02:56,0.7758750674,1.8009099613,0.995940,92.949546,3.594626,12,21,24,24,81,31,
hevc_qsv,x265,1,220513271,/dist/x265_hevc_qsv_1,36331349,"-tag:v,hvc1",00:06:18,0.8352418934,0.8404662571,0.981557,83.498449,13.045723,5,26,29,27,87,32,
